,beds,baths,size,zip_code,price
325,2,1.0,760,98144,250000
326,3,2.5,2600,98117,1148000
327,3,2.0,2130,98107,990200
328,3,3.5,2899,98199,1800000
329,3,1.0,1090,98178,400000
330,4,4.0,3360,98107,1200000
331,4,2.5,2240,98117,1050000
332,2,1.0,886,98112,620000
333,3,2.0,1560,98106,799000
334,4,2.0,1730,98146,852000
335,3,2.0,1700,98115,1150000
336,4,3.5,1909,98103,1500000
337,3,2.0,2180,98117,1012000
338,1,1.0,681,98105,470000
339,3,3.0,1460,98144,1000000
340,1,1.0,704,98119,365000
341,2,1.0,1010,98125,549950
342,2,2.5,1635,98102,1850000
343,2,1.5,1022,98144,655000
344,3,1.0,990,98146,635000
345,2,2.0,1164,98117,706474
346,1,1.0,583,98119,349000
347,2,1.5,888,98103,700000
348,4,2.0,2740,98119,1400000
349,3,2.0,1670,98118,485000
350,3,1.0,830,98125,660000
351,2,2.0,1200,98122,705000
352,3,3.5,2530,98102,1299000
353,4,3.0,2660,98117,1360000
354,4,2.0,2820,98117,1441000
355,2,1.0,1011,98103,159488
356,2,1.5,1088,98106,590000
357,6,3.5,3785,98117,3150000
358,3,2.0,1540,98144,630000
359,2,1.5,1180,98168,575000
360,3,3.5,1968,98199,980000
361,1,1.0,610,98119,340000
362,2,2.0,1346,98116,800000
363,2,2.5,1320,98133,570000
364,3,3.5,3064,98121,2450000
365,3,2.0,2980,98115,1415000
366,4,3.5,3050,98102,2250000
367,3,2.0,2020,98133,917500
368,3,2.5,1926,98122,1148000
369,2,1.0,1330,98125,479000
370,3,2.0,2410,98199,1083000
371,2,2.5,1580,98106,699000
372,3,1.0,1030,98105,710000
373,3,3.0,1630,98168,615000
374,4,2.5,2370,98146,750000
375,1,1.0,783,98101,530000
376,4,1.0,1310,98146,735000
377,3,2.0,1996,98117,986500
378,3,2.0,1580,98126,820000
379,1,1.0,781,98122,481000
380,2,2.0,1517,98105,1350000
381,4,2.0,2360,98115,950000
382,3,2.0,1496,98144,824500
383,2,2.5,1250,98117,725000
384,2,2.0,1810,98119,1350000
385,1,1.0,531,98121,489000
386,4,2.5,2380,98105,1900000
387,2,2.0,1095,98177,599950
388,2,2.0,1080,98106,533500
389,2,2.0,1146,98112,845000
390,4,2.5,1544,98117,850000
391,1,1.0,707,98122,590000
392,4,3.0,2067,98122,1074900
393,4,3.0,2360,98115,1360000
394,2,2.0,724,98103,430000
395,2,2.5,1649,98118,765000
396,5,2.5,2180,98118,1009975
397,3,2.0,1960,98199,955000
398,1,1.0,727,98103,445000
399,3,2.0,1209,98116,725000
400,1,1.0,650,98116,349000
401,5,3.0,3070,98117,1450000
402,4,2.5,2130,98136,960000
403,4,2.5,2220,98144,1235000
404,4,3.0,2288,98126,1105000
405,2,2.0,1370,98121,1050000
406,5,3.0,3120,98178,795000
407,4,2.5,2180,98115,1275000
408,3,2.0,1590,98146,560000
409,3,1.5,2220,98115,930000
410,1,1.0,813,98178,240000
411,1,1.0,574,98109,280000
412,4,2.0,2480,98122,825000
413,4,3.0,3320,98116,750000
414,2,1.0,1720,98118,575000
415,3,2.0,2050,98109,1265000
416,4,3.0,2370,98115,1830000
417,4,5.0,3660,98118,2695000
418,3,3.5,1670,98107,1115000
419,2,3.5,990,98178,405000
420,3,3.0,3120,98199,1350000
421,3,2.0,2260,98199,1300000
422,2,1.0,650,98103,708888
423,3,3.5,1540,98126,699950
424,3,3.5,1980,98144,1055000
425,3,1.0,2160,98115,920000
426,4,2.5,3080,98117,1650000
427,2,3.0,1740,98105,1395000
428,3,2.0,1900,98112,1766000
429,9,5.0,3940,98133,1089000
430,2,1.5,1366,98116,839000
431,4,1.5,1920,98125,850000
432,1,1.0,715,98115,515000
433,3,2.5,1610,98107,895000
434,6,4.0,2960,98199,1050000
435,4,2.0,1810,98117,945000
436,2,2.0,1125,98102,705000
437,2,2.0,1893,98115,727000
438,3,2.0,1096,98117,875000
439,3,4.5,3760,98199,1570000
440,4,2.5,2720,98136,1315000
441,2,2.0,1510,98105,915000
442,2,2.0,1350,98119,1035000
443,4,3.5,2980,98112,2400000
444,2,2.0,1443,98168,325000
445,2,2.0,1170,98115,428000
446,5,2.0,2260,98117,865000
447,3,2.0,1990,98146,730000
448,2,1.5,1555,98122,677500
449,3,2.0,2350,98122,1140000
450,2,1.0,1440,98125,699950
451,1,1.0,627,98107,429000
452,1,1.0,551,98121,410000
453,2,1.0,770,98126,560000
454,3,2.5,1570,98103,700000
455,1,1.0,699,98199,390000
456,3,3.0,2650,98105,1600000
457,2,1.5,1070,98103,850000
458,3,0.5,1941,98103,892700
459,3,2.5,2030,98115,1439000
460,2,1.0,1620,98178,619000
461,2,2.5,1400,98103,850000
462,3,2.0,2354,98115,938000
463,2,3.5,1155,98118,219700
464,3,1.0,1340,98177,785000
465,2,1.0,903,98146,363500
466,3,1.5,1220,98103,599000
467,2,1.0,1250,98118,500000
468,2,2.0,1040,98133,625000
469,2,1.0,1660,98109,850000
470,1,1.0,744,98115,345000
471,2,1.5,805,98107,500000
472,3,1.0,1060,98117,1125000
473,5,3.5,3160,98112,2300000
474,3,3.0,1120,98168,525000
475,4,2.5,1881,98133,870000
476,5,2.5,3460,98144,2425000
477,1,1.0,376,98199,1000000
478,2,2.0,880,98126,680000
479,1,1.0,794,98121,660000
480,3,2.0,1340,98103,925000
481,4,2.5,2560,98116,1712000
482,4,2.0,2178,98133,880000
483,2,1.0,1180,98122,870260
484,4,3.5,3220,98199,2195000
485,3,3.0,2070,98136,730000
486,3,2.5,2131,98119,1520000
487,2,3.0,970,98102,769900
488,6,3.5,2430,98108,870000
489,3,2.5,1395,98116,725000
490,3,2.5,1810,98125,922000
491,2,1.0,904,98122,520000
492,1,1.0,717,98109,425000
493,5,3.0,2170,98178,775000
494,4,3.0,3120,98144,1670000
495,3,2.0,1870,98136,849000
496,4,3.5,2285,98116,1500000
497,3,2.5,2783,98199,1640000
498,4,2.0,2540,98107,1280000
499,2,2.0,1734,98109,725000
500,2,1.0,1010,98125,870000
501,3,2.5,1420,98103,890000
502,3,1.0,1410,98118,475000
503,3,2.0,2320,98115,880000
504,1,1.0,553,98103,335000
505,3,2.0,1719,98103,1160000
506,4,2.0,2037,98119,1247500
507,1,1.0,954,98101,555000
508,2,1.5,1370,98115,700000
509,2,1.0,1480,98117,905000
510,5,4.5,3636,98115,2840000
511,3,1.5,1780,98126,650000
512,3,2.0,1094,98108,649995
513,1,1.0,830,98103,695000
514,2,2.0,834,98126,351000
515,2,1.5,1035,98112,656500
516,4,3.0,2790,98133,965000
517,2,2.0,859,98126,499950
518,4,3.5,5690,98112,3630000
519,2,1.0,772,98103,409000
520,3,1.0,1430,98168,499800
521,3,2.5,1460,98106,575000
522,3,2.5,1386,98107,999950
523,5,3.0,2310,98106,780000
524,2,1.5,1340,98115,675000
525,2,4.0,1291,98116,800500
526,3,2.5,2320,98116,949000
527,3,2.5,2150,98116,1360000
528,2,2.0,1885,98115,550000
529,3,2.0,1425,98117,750000
530,3,2.5,1810,98107,1000000
531,2,1.0,1280,98118,859000
532,3,3.0,1480,98117,729000
533,3,3.0,2110,98177,1270000
534,2,1.0,1027,98115,300000
535,1,1.0,808,98101,730000
536,3,2.5,1569,98107,950000
537,3,3.0,2247,98109,1725000
538,3,1.0,1220,98107,750000
539,2,1.0,1060,98103,900000
540,4,2.0,1920,98118,1210000
541,1,1.0,804,98116,425000
542,2,1.0,813,98116,452500
543,4,1.5,1740,98146,649950
544,3,1.5,2230,98117,1075000
545,4,2.5,2760,98178,640000
546,3,3.0,1660,98118,795000
547,3,2.5,1360,98112,805000
548,4,4.5,5200,98118,2600000
549,3,2.5,1573,98107,1030000
550,1,1.0,700,98101,645000
551,4,3.0,1700,98146,649000
552,4,3.5,2560,98144,1325000
553,3,2.0,1330,98122,680000
554,4,2.0,2180,98115,838000
555,3,2.0,1350,98103,785000
556,2,1.5,1720,98144,725000
557,4,3.5,3060,98136,3931000
558,2,2.0,954,98133,380000
559,2,2.5,1460,98106,599950
560,4,3.0,1540,98105,1108000
561,1,1.0,709,98109,470000
562,3,1.5,2560,98118,720000
563,1,1.0,534,98119,324000
564,2,2.5,1440,98144,875000
565,1,1.0,627,98121,462750
566,3,2.5,1324,98126,649950
567,2,2.0,1290,98125,635000
568,1,1.0,748,98122,499000
569,2,2.5,1830,98116,1730000
570,3,2.0,1660,98115,795000
571,3,1.0,1964,98168,625000
572,3,2.0,1460,98116,759000
573,1,1.0,683,98119,450500
574,4,2.0,2060,98115,812500
575,4,2.0,1160,98103,710000
576,3,2.0,1540,98144,680000
577,1,1.0,529,98118,265000
578,2,1.0,1860,98105,898000
579,1,1.0,648,98115,515000
580,5,4.0,4490,98122,1150000
581,6,4.0,2310,98108,849000
582,3,3.5,3130,98105,2350000
583,2,1.0,2110,98146,376000
584,3,1.5,1590,98108,700000
585,3,2.5,1280,98105,900000
586,2,1.0,840,98118,495000
587,3,2.0,2020,98125,950000
588,4,3.0,3610,98105,2330000
589,4,3.5,2336,98115,1080000
590,2,1.0,1040,98133,350000
591,1,1.0,620,98119,399000
592,1,1.0,728,98119,360000
593,3,2.5,1970,98103,715000
594,4,3.0,2190,98115,1490000
595,4,3.0,2120,98126,920000
596,2,2.0,1415,98125,449000
597,4,3.5,1835,98103,1299950
598,2,4.5,1670,98107,1115000
599,3,3.5,2570,98105,2000000
600,3,2.0,2060,98118,700000
601,3,2.5,1740,98102,1678000
602,5,3.0,2510,98103,910000
603,2,2.5,1000,98144,660000
604,3,2.0,1516,98116,1150000
605,3,1.0,940,98136,500000
606,4,2.0,2440,98144,1116000
607,5,4.0,2470,98118,1005000
608,2,2.0,1288,98133,755000
609,4,3.5,3240,98112,1995000
610,2,2.0,693,98119,490000
611,3,2.5,1550,98107,825000
612,4,2.0,2080,98106,750000
613,4,3.0,1400,98107,1000000
614,2,2.5,1159,98122,885000
615,2,1.5,901,98107,599000
616,4,3.0,2900,98136,1175000
617,4,2.5,2052,98178,865000
618,1,1.0,773,98121,685000
619,2,2.0,1040,98118,345000
620,2,2.0,2353,98116,1160000
621,2,2.0,1212,98136,600000
622,5,2.0,2640,98122,1000000
623,2,1.0,1090,98118,580000
624,5,2.5,3960,98199,1850000
625,4,1.5,3030,98112,1500000
626,4,2.5,3080,98168,650000
627,1,1.0,700,98119,405000
628,2,1.5,1276,98103,885000
629,3,1.0,910,98168,480000
630,5,3.5,4180,98109,3000000
631,1,1.0,852,98107,430000
632,5,1.5,2830,98118,766000
633,2,1.0,970,98116,600000
634,3,2.0,1576,98122,974999
635,1,1.0,667,98115,327500
636,3,2.0,1080,98116,875000
637,2,5.5,2659,98102,6250000
638,5,5.0,3623,98115,1975000
639,4,3.5,2520,98199,1765000
640,4,3.5,2720,98102,1750000
641,2,2.0,968,98103,715000
642,2,2.0,839,98133,385000
643,2,3.5,2080,98103,1495000
644,2,2.0,693,98119,480000
645,2,2.5,1365,98118,525000
646,2,1.0,1580,98178,500000
647,2,1.0,860,98116,750000
648,2,2.0,1038,98116,600000
649,4,3.0,2860,98103,1600000
650,1,1.0,557,98102,370000
651,2,2.0,1644,98101,2250000
652,5,2.0,2340,98106,613000
653,3,2.5,1810,98107,1000000
654,2,1.0,2530,98122,700000
655,3,3.5,1820,98122,1125000
656,2,1.0,648,98107,430000
657,2,2.5,1448,98103,1325000
658,2,1.0,1660,98125,535000
659,5,3.0,2970,98117,1225000
660,5,4.0,3030,98108,1250000
661,3,2.0,1400,98106,530000
662,2,1.5,900,98133,549755
663,3,2.0,2740,98144,1278500
664,2,1.0,720,98117,545000
665,4,2.5,1880,98117,1050000
666,3,2.5,1681,98126,650000
667,4,2.0,3325,98199,1650000
668,5,3.5,4397,98105,3400000
669,3,1.5,1540,98126,689000
670,3,1.0,1530,98146,435000
671,2,2.0,1015,98115,468000
672,4,3.0,2340,98108,780000
673,1,1.0,836,98121,605000
674,1,1.0,492,98146,205000
675,3,3.0,1880,98107,999950
676,2,2.0,1570,98103,849000
677,4,2.5,1806,98118,745000
678,2,2.0,1595,98119,945000
679,2,2.0,1526,98199,893000
680,3,2.5,1346,98107,899000
681,3,2.0,1600,98117,877500
682,2,2.0,1170,98112,655000
683,3,2.5,1660,98144,690000
684,1,1.0,707,98133,325000
685,3,2.0,1390,98116,899950
686,3,2.0,2900,98199,1305000
687,1,1.0,704,98144,519950
688,3,4.0,2400,98122,1460000
689,3,1.0,1120,98112,985000
690,4,2.0,1710,98117,1170000
691,3,2.0,1880,98122,955000
692,3,3.0,1454,98122,890955
693,14,5.0,3884,98106,1300000
694,3,1.5,2300,98107,1125000
695,4,3.0,2520,98105,1025000
696,4,3.0,3335,98115,1325000
697,3,2.5,2118,98118,837000
698,2,1.0,910,98117,825000
699,4,1.0,2080,98117,800000
700,2,1.0,2520,98122,810000
701,3,2.0,1560,98116,965000
702,2,1.0,1130,98199,1180000
703,1,1.0,543,98121,425000
704,1,1.0,620,98178,524950
705,3,3.0,1720,98177,865000
706,2,2.0,1015,98115,500000
707,1,1.0,530,98118,390800
708,4,2.0,1350,98106,700000
709,3,2.5,1510,98133,717500
710,1,1.5,1021,98101,1099900
711,3,1.0,1730,98103,900000
712,2,2.0,3120,98118,1050000
713,4,2.5,2172,98105,975000
714,3,3.5,1410,98117,740000
715,1,1.0,578,98121,379000
716,2,2.0,1350,98117,960000
717,2,2.0,900,98102,1650000
718,2,2.5,1865,98109,890000
719,2,2.0,1174,98109,779000
720,3,1.5,1250,98178,552000
721,5,3.0,3590,98117,1700000
722,3,2.0,1548,98117,850000
723,4,3.0,3030,98115,1119000
724,1,1.0,622,98103,387000
725,4,2.0,2245,98178,775000
726,4,3.5,2627,98118,1650000
727,4,2.5,3680,98118,1880000
728,2,1.0,2170,98199,950000
729,3,1.0,1600,98119,1023000
730,2,2.5,2803,98101,2320000
731,3,1.5,2120,98105,865000
732,3,2.5,1980,98146,675000
733,3,2.0,1370,98103,1270000
734,1,1.0,723,98133,315000
735,4,1.5,1300,98122,975000
736,3,2.0,1060,98106,599000
737,1,1.0,531,98121,396000
738,2,1.0,770,98106,490000
739,4,3.0,2470,98115,1180000
740,3,2.5,2260,98103,1406000
741,2,1.5,1120,98103,605000
742,3,3.5,1936,98122,1295000
743,2,2.5,1560,98117,730000
744,2,2.0,1020,98118,605000
745,3,2.0,1100,98122,645000
746,3,2.0,2120,98103,1130000
747,2,2.5,1400,98102,1062500
748,2,2.0,1429,98126,855000
749,3,2.5,1320,98117,835000
750,4,4.5,4790,98144,1750000
751,3,1.0,1070,98168,515000
752,2,2.5,1966,98103,1495000
753,2,2.0,1146,98116,675000
754,3,2.5,1047,98144,720000
755,2,1.5,1760,98144,650000
756,2,2.0,1030,98125,826500
757,3,2.0,1514,98107,915000
758,3,1.5,1520,98146,720000
759,4,3.5,3360,98136,1575000
760,3,2.0,1910,98136,725000
761,2,2.5,1550,98122,1051500
762,1,1.0,641,98122,349000
763,3,3.0,1190,98144,765000
764,4,2.0,2640,98122,700000
765,2,1.5,938,98106,425000
766,3,3.5,2206,98103,1116000
767,1,1.0,680,98104,355000
768,2,1.0,749,98103,489000
769,2,2.0,1353,98115,785000
770,1,1.0,250,98103,159000
771,8,4.0,3136,98146,1005000
772,2,2.0,1149,98115,730000
773,1,1.0,861,98126,405000
774,4,2.5,2050,98177,805000
775,2,2.0,1106,98109,700000
776,3,3.5,1930,98125,600000
777,4,3.0,3090,98168,210000
778,3,2.0,2437,98118,1275000
779,2,2.5,1330,98105,699950
780,3,2.0,1680,98136,910000
781,2,2.0,834,98115,552450
782,2,2.0,1112,98177,675000
783,1,1.0,626,98115,275000
784,2,1.0,1230,98144,326000
785,4,2.5,2840,98105,1200000
786,2,1.5,1115,98107,745000
787,4,2.0,2240,98106,750000
788,3,3.0,1687,98115,946000
789,4,3.0,1900,98103,1150000
790,3,3.0,1970,98177,1395000
791,3,2.5,1512,98144,760000
792,1,1.0,696,98122,449000
793,2,1.5,806,98106,510000
794,2,2.0,1319,98107,838000
795,2,1.0,2300,98168,525000
796,2,1.5,1127,98102,1008000
797,4,2.0,2280,98168,640000
798,2,2.0,1120,98126,789500
799,4,3.0,1960,98136,1270000
800,1,1.0,627,98101,335000
801,2,2.0,1228,98109,900000
802,3,2.0,1800,98117,1130000
803,1,1.0,883,98119,500000
804,4,1.0,1190,98106,463900
805,5,5.5,5770,98122,5000000
806,2,2.5,1710,98117,875000
807,2,2.0,968,98103,700000
808,2,1.0,790,98178,532500
809,1,1.0,376,98199,1000000
810,6,5.5,4510,98178,2202718
811,3,2.0,1300,98199,1100000
812,3,3.5,2106,98115,1266000
813,3,2.5,1573,98107,1099950
814,4,2.0,2870,98168,703500
815,4,3.5,4006,98199,2940000
